noi_permit_number,project_name,latitude,longitude,receiving_waters,total_land_area,estimated_area,construct_start,construct_end
1440,Brookwood Crossing/Stonegate Apts. - Cambria Village/Christina Apts. f/k/a,39.266389,-75.599167,Smyrna River,56.7,42.4,10/1/2005,10/1/2008
1441,Bowers Landing Subdivision,39.05,-75.445833,Murderkill River,202.1,142.5,11/1/2004,11/1/2008
1442,The Meadows of Smyrna: Graceville & Centerville F/K/A,39.267778,-75.608333,Smyrna River,213.1,192.7,2/1/2005,2/1/2009
1446,Burtons Crossing,38.58,-75.290278,Iron Branch,13.95,13.95,6/1/2006,6/1/2007
1448,Lighthouse View Phase 2B,38.4525,-75.058611,Assawoman,0.9,0.9,4/15/2005,6/1/2013
1454,Captains Place,38.516667,-75.05,Little Assawoman,1.9,1.9,5/1/2005,8/1/2005
1460,Victorian Village Mobile Home Park (Fieldstone Village),39.2125,-75.575278,St. Jones River,41.35,41.35,2/15/2005,6/1/2007
1462,Seskinore,39.186389,-75.566389,St. Jones River,5,3.8,4/1/2005,4/1/2007
1469,Beste Animal Hospital,39.425,-75.763889,Appoquinimink River,6.77,1.2,3/1/2005,4/1/2006
1470,Fairways at Odessa National,39.416667,-75.6375,Appoquinimink River,65.5,45,6/1/2005,6/1/2007
1471,Ross Industrial Park,38.653611,-75.616944,Nanticoke River,5,3.5,3/30/2005,9/1/2005
1475,Southern View Subdivision,39.274167,-75.07,Smyrna River,52.08,43,4/1/2005,9/1/2007
1477,Nottingham Meadows Subdivision,39.147778,-75.561111,Smyrna River,88.1,88.1,6/1/2005,6/1/2007
1482,"Hearthstone Manor at New Milford, Phases 5 to 12",43.079167,-75.398611,Mispillion River,87.6,87.62,12/1/2014,12/1/2019
1484,BLACK CREEK COVE,38.646667,-75.3225,Indian River,78,66.1,6/9/2005,6/9/2006
1486,Lewes Church of Christ,37.995833,-75.158333,Lewes-Rehoboth Canal,9.4,8.2,1/15/2005,2/15/2007
1489,Pot Nets Lakeside,38.616667,-75.183333,Indian River,38,27.4,4/1/2005,10/1/2005
1490,Seaside Baptist Church,38.736944,-75.172778,Lewes-Rehoboth Canal,5,3,11/1/2006,1/1/2007
1501,Chapel Heights,38.548611,-75.236111,Indian River Bay,12.2,10.2,5/1/2005,5/31/2006
1503,"Hidden Brook, Phase I",39.233333,-75.608333,Upper Leipsic River,102.28,85.2,10/1/2005,1/1/2010
1505,Village of Brandywine,39.836111,-75.539444,Brandywine Creek,41.7,27.7,5/1/2005,10/1/2007
1511,Kingston Ridge,38.625556,-75.291667,Indian River Bay,101.67,101.67,8/1/2005,4/1/2006
1515,DMR Properties,38.629444,-75.196389,Indian River,0.8,0.8,4/1/2005,4/1/2006
1518,Cool Branch,38.625,-75.544167,Deep Creek,37.89,37.89,3/1/2005,3/1/2006
1520,The Estates of Walls Purchase,38.707778,-75.240833,Broadkill River,82.6,50,1/9/2005,1/9/2006
1529,Ross Business Park - North Ross Lift Station,38.663611,-75.614167,Nanticoke River,133.6,0.6,4/1/2005,9/30/2005
1530,Nucar Buick Pontiac GMC,39.686944,-75.743889,Brandywine Creek,10.45,2.5,4/1/2005,4/1/2007
1531,Bay Forest Club ,38.564167,-75.123611,Indian River Bay,385.16,203.8,6/1/2013,10/30/2016
1532,Beaver Creek,38.733333,-75.283333,Broadkill River,77.07,14.5,3/21/2005,3/21/2007
1535,Saint Paul United Methodist Church Building,38.916111,-75.430833,Mispillion River,0.6,0.6,6/1/2005,6/1/2006
1540,White Creek Landing - Millville,38.5625,-75.083333,Indian River Bay,86.5,35.1,4/1/2006,8/1/2010
1541,Lake Como Woods,32.285833,-75.606389,Smyrna River,28.1,20,5/1/2005,5/1/2007
1545,Pigeon Run Septic Elimination,39.625,-75.657778,Red Lion Creek,0.9,0.9,7/1/2005,5/1/2006
1551,Point Laning,39.095556,-75.485833,St. Jones River,74.6,52.1,9/15/2005,9/15/2006
1563,The Estates of Morris Mill,38.633333,-75.316667,Indian River,166.3,24.25,7/1/2005,11/1/2005
1565,"Hidden Brook, Phase II",39.233333,-75.6,Leipsic River,102.28,75.4,9/1/2006,1/1/2010
1568,Bayshore Plaza III,38.631667,-75.196111,Rehoboth Bay,6.55,6.55,11/15/2006,11/15/2007
1576,Lot 91 Townsend Station,39.395833,-75.683611,Appoquinimink River,1.6,1.8,8/1/2005,8/1/2006
1578,Dunkin Donuts of Milford,38.926389,-75.441111,Mispillion River,2.5,1.6,5/1/2005,5/1/2006
1583,Across the Tracks,39.792222,-75.593333,Brandywine Creek,1.4,0.4,5/1/2005,2/1/2006
1592,Eastern Shore Environmental Transfer Station,38.858889,-75.579167,Marshyhope Creek,20,17.1,3/1/2008,11/1/2008
1600,Vincent Overlook,38.754167,-75.236667,Lewes-Rehoboth Canal,89.41,93.16,9/1/2005,1/1/2009
1601,Colony South,38.966667,-75.429167,Mispillion River,38.9,26,6/30/2005,10/30/2007
1603,Pintail Pointe,38.778611,-75.241944,Broadkill River,32.5,26.5,6/1/2005,6/1/2008
1605,Big Oak Subdivision,39.261667,-75.593056,Leipsic River,19.52,19.8,10/7/2005,6/30/2007
1607,Bayshore Plaza I,38.533889,-75.193889,Indian River Bay,3,3.5,8/1/2005,8/1/2006
1611,Fountain Town Homes,38.706667,-75.087778,Lewes-Rehoboth Canal,0.7,0.7,8/1/2005,12/1/2005
1613,Masseys Mill,39.242778,-75.631944,Leipsic River,60.7,51.4,10/15/2005,10/15/2009
1614,Old Field Village,39.05,-75.525,St. Jones River,65.3,46,8/1/2005,8/1/2010
1619,Delaware Electric Cooperative Greenwood,39.25,-75.5,Leipsic River,4,2.3,7/1/2005,10/30/2006
1622,Mt. Friendship,39.243333,-75.639167,Leipsic River,50.8,29.4,11/1/2005,11/30/2006
1634,Ferm Industrial Park,39.713056,-75.558056,Christina River,23.7,4.1,6/30/2005,6/30/2006
1638,Sawmill Woods,38.734722,-75.341667,Broadkill River,16.6,12.4,10/30/2005,10/30/2006
1642,Sandy Ridge Estates,38.558333,-75.166667,Indian River Bay,16.36,16.4,5/1/2006,9/30/2006
1643,Weatherstone Crossing,39.722222,-75.583333,Murderkill River,137.9,98.9,4/1/2006,4/1/2020
1656,"Crossings at Bethany, The",38.541667,-75.075833,Indian River Bay,0.9,0.9,10/1/2005,5/1/2007
1658,South View,38.536667,-75.091389,Indian River Bay,5.9,3.8,11/1/2006,10/1/2007
1663,Rainbow Cove Condominium,38.693889,-75.0625,Rehoboth Bay,1.1,0.2,8/1/2005,12/1/2005
1665,Coastal Club,38.731667,-75.199444,Lewes-Rehoboth Canal,373.8,78,10/1/2006,10/1/2011
1672,Brendford Station - Dominion Court,39.25,-75.608056,Leipsic River,160,11,10/1/2005,12/31/2006
1674,Conrad Middle School,39.725,-75.591667,Naamans Creek,19.31,1,8/1/2005,10/1/2005
1675,Lands of Springerwoods LLC,39.804167,-75.5375,Shellpot Creek,10.1,6.3,10/1/2005,10/1/2007
1676,Dennison Ridge,39.758056,-75.701944,Christina River,46.28,40,9/1/2005,9/1/2008
1677,St. Edmonds Academy,39.811667,-75.489722,Naamans Creek,25.5,15.8,7/22/2005,8/1/2005
1678,Society Office Complex,39.817222,-75.459722,Naamans Creek,3.1,1,9/1/2005,9/15/2006
1679,Robinson Crossing,39.433333,-75.649167,Appoquinimink River,119.2,50,8/1/2005,1/1/2010
1640,Spruce Pine Subdivision,38.766667,-75.291667,Broadkill River,8.3,2.1,3/1/2007,9/1/2007
1682,Chaselynd Hills,39.110278,-75.789444,St. Jones River,176.6,176.7,6/1/2006,6/1/2011
1685,Heritage Creek,38.7625,-75.308333,Broadkill River,127,135.5,9/1/2005,12/31/2010
1662,Greenlea Place,38.691667,-75.375,Broadkill River,38.11,38.05,11/15/2005,11/15/2009
1694,Village of Westover Phase 6,39.907778,-75.941389,St. Jones River,17.6,17.6,9/1/2005,10/1/2006
1697,Townsend Crossing,39.398056,-75.684444,Appoquinimink River,1.7,1.6,1/1/2006,6/1/2006
1699,The Village of Bayberry North,39.513056,-75.669444,C & D Canal East,463.4,360,4/1/2007,12/31/2014
1704,"Plantation Lakes - Phase I - Sections I, J ANDK and Golf Course",38.988611,-75.490278,Indian River,189.35,97.06,8/1/2005,12/30/2014
1707,Champions Club,39.0875,-75.48,St. Jones River,144.9,105.1,7/1/2006,12/1/2011
1709,Springside Plaza -Phase IV,39.602778,-75.752778,Christina River,41.8,3.4,10/1/2005,10/1/2006
1710,Village of Bayberry South,39.829444,-75.846667,Appoquinimink River,850,680,8/1/2006,12/31/2014
1715,Rehoboth Landing,38.463056,-75.225556,Lewes-Rehoboth Canal,6.94,6.88,1/1/2006,1/1/2008
1717,Southfield,31.43,-75.91,Mispillion River,100,92.7,9/7/2007,9/7/2010
1726,Milford Ponds,38.885499,-75.433273,Mispillion River,178.2,160.5,5/1/2006,5/1/2016
1727,Bethany Pines,38.541667,-75.078889,Indian River Bay,0.77,0.72,11/1/2005,5/1/2006
1731,Lands of 274 Associates,38.725,-75.133333,Lewes-Rehoboth Canal,22.3,22.3,1/1/2006,4/1/2006
1735,Peninsula Lakes,38.992778,-75.431944,Indian River,300.1,100,5/1/2007,5/1/2009
1737,Plymouth Place Subdivision,39.031944,-75.569167,Murderkill River,31.14,29.3,11/30/2005,11/30/2007
1738,The Preserve at Long Neck,38.62,-75.13,Indian River Bay,6.6,5.6,1/1/2006,7/1/2006
1746,Rich Field Acres,38.679167,-75.197222,Indian River,16.9,16.9,12/1/2005,12/31/2006
1752,Cheswold Aggregates Site,39.355,-75.980278,St. Jones River,9.2,6.92,10/1/2005,10/30/2005
1753,Forest Knoll Estates,38.535,-75.683333,Broad Creek,96.3,7,10/1/2005,10/1/2008
1754,Lighthouse Estates,38.9375,-75.423056,Mispillion River,26.6,26.2,11/1/2005,4/30/2007
1758,Carpenters Bridge Crossing,38.992938,-75.495607,Murderkill River,99.8,90.3,2/1/2006,2/1/2007
1761,IG Burton Milford,38.9463,-75.4281,Mispillion River,1.5,1.5,10/6/2005,12/1/2005
1768,Chapel Crossing,38.542778,-75.254167,Indian River Bay,11,10.3,6/1/2006,6/15/2007
1770,Greenville-Wright Farm-Southwestern Bell,38.890833,-75.672222,Murderkill River,187.97,0.13,2/6/2006,3/20/2006
1771,The Arbors Senior Condominiums,39.175,-75.558333,St. Jones River,4.5,5,9/1/2006,9/1/2008
1773,Crossland,39.538611,-75.660833,Appoquinimink River,139.1,92.6,1/1/2008,1/1/2017
1774,Hardy Self Storage,38.468611,-75.233889,Buntings Branch,2.33,2.27,9/15/2006,3/1/2007
1777,DMR Centre,38.629167,-75.196111,Indian River,0.8,1.3,11/1/2005,11/1/2006
1779,154 North DuPont Highway,39.673333,-75.596389,Army Creek,1.4,1.3,11/28/2005,11/28/2006
1784,"Hearthstone Manor at New Milford, Phases 6",43.079167,-75.398611,Mispillion River,15.99,15.99,11/1/2005,11/1/2006
