year,site_id,watershed_name,watershed_area_sqmi,flow_gage_name,gaged_area_sqmi,gaged_annual_mean_cfs,area_ratio_watershed_to_gaged,watershed_annual_mean_cfs,watershed_annual_runoff_cfs_per_sqmi
1990,,Brandywine River in DE,22.98,"BRANDYWINE CREEK AT WILMINGTON, DE",314,441.2,0.07,32.29,1.4
1991,,Brandywine River in DE,22.98,"BRANDYWINE CREEK AT WILMINGTON, DE",314,363.8,0.07,26.62,1.2
1992,,Brandywine River in DE,22.98,"BRANDYWINE CREEK AT WILMINGTON, DE",314,320.6,0.07,23.46,1
1993,,Brandywine River in DE,22.98,"BRANDYWINE CREEK AT WILMINGTON, DE",314,561.3,0.07,41.08,1.8
1994,,Brandywine River in DE,22.98,"BRANDYWINE CREEK AT WILMINGTON, DE",314,550.5,0.07,40.29,1.8
1995,,Brandywine River in DE,22.98,"BRANDYWINE CREEK AT WILMINGTON, DE",314,319.2,0.07,23.36,1
1996,,Brandywine River in DE,22.98,"BRANDYWINE CREEK AT WILMINGTON, DE",314,913.6,0.07,66.86,2.9
1997,,Brandywine River in DE,22.98,"BRANDYWINE CREEK AT WILMINGTON, DE",314,435.4,0.07,31.86,1.4
1998,,Brandywine River in DE,22.98,"BRANDYWINE CREEK AT WILMINGTON, DE",314,413.7,0.07,30.28,1.3
1999,,Brandywine River in DE,22.98,"BRANDYWINE CREEK AT WILMINGTON, DE",314,435.6,0.07,31.88,1.4
2000,,Brandywine River in DE,22.98,"BRANDYWINE CREEK AT WILMINGTON, DE",314,518.1,0.07,37.92,1.7
2001,,Brandywine River in DE,22.98,"BRANDYWINE CREEK AT WILMINGTON, DE",314,347,0.07,25.4,1.1
2002,,Brandywine River in DE,22.98,"BRANDYWINE CREEK AT WILMINGTON, DE",314,246.7,0.07,18.05,0.8
2003,,Brandywine River in DE,22.98,"BRANDYWINE CREEK AT WILMINGTON, DE",314,862.7,0.07,63.14,2.7
2004,,Brandywine River in DE,22.98,"BRANDYWINE CREEK AT WILMINGTON, DE",314,713.1,0.07,52.19,2.3
2005,,Brandywine River in DE,22.98,"BRANDYWINE CREEK AT WILMINGTON, DE",314,590.2,0.07,43.19,1.9
2006,,Brandywine River in DE,22.98,"BRANDYWINE CREEK AT WILMINGTON, DE",314,521.3,0.07,38.15,1.7
2007,,Brandywine River in DE,22.98,"BRANDYWINE CREEK AT WILMINGTON, DE",314,490.8,0.07,35.92,1.6
2008,,Brandywine River in DE,22.98,"BRANDYWINE CREEK AT WILMINGTON, DE",314,411.1,0.07,30.09,1.3
2009,,Brandywine River in DE,22.98,"BRANDYWINE CREEK AT WILMINGTON, DE",314,508.8,0.07,37.24,1.6
2010,,Brandywine River in DE,22.98,"BRANDYWINE CREEK AT WILMINGTON, DE",314,543,0.07,39.74,1.7
2011,,Brandywine River in DE,22.98,"BRANDYWINE CREEK AT WILMINGTON, DE",314,741.3,0.07,54.25,2.4
2012,,Brandywine River in DE,22.98,"BRANDYWINE CREEK AT WILMINGTON, DE",314,399.8,0.07,29.26,1.3
2013,,Brandywine River in DE,22.98,"BRANDYWINE CREEK AT WILMINGTON, DE",314,526.4,0.07,38.52,1.7
2014,,Brandywine River in DE,22.98,"BRANDYWINE CREEK AT WILMINGTON, DE",314,608.8,0.07,44.55,1.9
2015,,Brandywine River in DE,22.98,"BRANDYWINE CREEK AT WILMINGTON, DE",314,369.5,0.07,27.04,1.2
2016,,Brandywine River in DE,22.98,"BRANDYWINE CREEK AT WILMINGTON, DE",314,358.4,0.07,26.23,1.1
2017,,Brandywine River in DE,22.98,"BRANDYWINE CREEK AT WILMINGTON, DE",314,312.7,0.07,22.88,1
2018,,Brandywine River in DE,22.98,"BRANDYWINE CREEK AT WILMINGTON, DE",314,787.6,0.07,57.64,2.5
2019,,Brandywine River in DE,22.98,"BRANDYWINE CREEK AT WILMINGTON, DE",314,701.2,0.07,51.32,2.2
1990,,Christina River in DE,67.2,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,34.2,3.28,112.11,1.7
1991,,Christina River in DE,67.2,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,25.2,3.28,82.61,1.2
1992,,Christina River in DE,67.2,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,25.9,3.28,84.9,1.3
1993,,Christina River in DE,67.2,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,37.9,3.28,124.24,1.8
1994,,Christina River in DE,67.2,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,33.5,3.28,109.81,1.6
1995,,Christina River in DE,67.2,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,21.4,3.28,70.15,1
1996,,Christina River in DE,67.2,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,50.9,3.28,166.85,2.5
1997,,Christina River in DE,67.2,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,23.8,3.28,78.02,1.2
1998,,Christina River in DE,67.2,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,22.8,3.28,74.74,1.1
1999,,Christina River in DE,67.2,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,29.3,3.28,96.05,1.4
2000,,Christina River in DE,67.2,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,26.1,3.28,85.56,1.3
2001,,Christina River in DE,67.2,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,19.3,3.28,63.27,0.9
2002,,Christina River in DE,67.2,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,20.1,3.28,65.89,1
2003,,Christina River in DE,67.2,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,53.5,3.28,175.38,2.6
2004,,Christina River in DE,67.2,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,53.2,3.28,174.39,2.6
2005,,Christina River in DE,67.2,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,27.9,3.28,91.46,1.4
2006,,Christina River in DE,67.2,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,27.6,3.28,90.47,1.3
2007,,Christina River in DE,67.2,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,22.2,3.28,72.77,1.1
2008,,Christina River in DE,67.2,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,18.8,3.28,61.63,0.9
2009,,Christina River in DE,67.2,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,24.2,3.28,79.33,1.2
2010,,Christina River in DE,67.2,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,29.5,3.28,96.7,1.4
2011,,Christina River in DE,67.2,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,44.9,3.28,147.18,2.2
2012,,Christina River in DE,67.2,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,23.1,3.28,75.72,1.1
2013,,Christina River in DE,67.2,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,33.7,3.28,110.47,1.6
2014,,Christina River in DE,67.2,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,32.8,3.28,107.52,1.6
2015,,Christina River in DE,67.2,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,31,3.28,101.62,1.5
2016,,Christina River in DE,67.2,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,24.3,3.28,79.66,1.2
2017,,Christina River in DE,67.2,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,20.2,3.28,66.22,1
2018,,Christina River in DE,67.2,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,43.5,3.28,142.6,2.1
2019,,Christina River in DE,67.2,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,33.9,3.28,111.13,1.7
1990,,Red Clay Creek in DE,21.11,"RED CLAY CREEK AT WOODDALE, DE",47,63.2,0.45,28.39,1.3
1991,,Red Clay Creek in DE,21.11,"RED CLAY CREEK AT WOODDALE, DE",47,47.4,0.45,21.29,1
1992,,Red Clay Creek in DE,21.11,"RED CLAY CREEK AT WOODDALE, DE",47,39.8,0.45,17.88,0.8
1993,,Red Clay Creek in DE,21.11,"RED CLAY CREEK AT WOODDALE, DE",47,72.2,0.45,32.43,1.5
1994,,Red Clay Creek in DE,21.11,"RED CLAY CREEK AT WOODDALE, DE",47,69,0.45,30.99,1.5
1995,,Red Clay Creek in DE,21.11,"RED CLAY CREEK AT WOODDALE, DE",47,37.1,0.45,16.66,0.8
1996,,Red Clay Creek in DE,21.11,"RED CLAY CREEK AT WOODDALE, DE",47,105.1,0.45,47.21,2.2
1997,,Red Clay Creek in DE,21.11,"RED CLAY CREEK AT WOODDALE, DE",47,56.4,0.45,25.33,1.2
1998,,Red Clay Creek in DE,21.11,"RED CLAY CREEK AT WOODDALE, DE",47,42.9,0.45,19.27,0.9
1999,,Red Clay Creek in DE,21.11,"RED CLAY CREEK AT WOODDALE, DE",47,57.2,0.45,25.69,1.2
2000,,Red Clay Creek in DE,21.11,"RED CLAY CREEK AT WOODDALE, DE",47,59.6,0.45,26.77,1.3
2001,,Red Clay Creek in DE,21.11,"RED CLAY CREEK AT WOODDALE, DE",47,45.9,0.45,20.62,1
2002,,Red Clay Creek in DE,21.11,"RED CLAY CREEK AT WOODDALE, DE",47,38.1,0.45,17.11,0.8
2003,,Red Clay Creek in DE,21.11,"RED CLAY CREEK AT WOODDALE, DE",47,129,0.45,57.94,2.7
2004,,Red Clay Creek in DE,21.11,"RED CLAY CREEK AT WOODDALE, DE",47,121.2,0.45,54.44,2.6
2005,,Red Clay Creek in DE,21.11,"RED CLAY CREEK AT WOODDALE, DE",47,77.8,0.45,34.94,1.7
2006,,Red Clay Creek in DE,21.11,"RED CLAY CREEK AT WOODDALE, DE",47,70.7,0.45,31.75,1.5
2007,,Red Clay Creek in DE,21.11,"RED CLAY CREEK AT WOODDALE, DE",47,68.6,0.45,30.81,1.5
2008,,Red Clay Creek in DE,21.11,"RED CLAY CREEK AT WOODDALE, DE",47,53.9,0.45,24.21,1.1
2009,,Red Clay Creek in DE,21.11,"RED CLAY CREEK AT WOODDALE, DE",47,74.9,0.45,33.64,1.6
2010,,Red Clay Creek in DE,21.11,"RED CLAY CREEK AT WOODDALE, DE",47,82.3,0.45,36.96,1.8
2011,,Red Clay Creek in DE,21.11,"RED CLAY CREEK AT WOODDALE, DE",47,100.5,0.45,45.14,2.1
2012,,Red Clay Creek in DE,21.11,"RED CLAY CREEK AT WOODDALE, DE",47,58.5,0.45,26.28,1.2
2013,,Red Clay Creek in DE,21.11,"RED CLAY CREEK AT WOODDALE, DE",47,75.7,0.45,34,1.6
